username,group,inc_dia,inc_sym,hints,num_solved,tot_time,tot_time_sym,prop_hint_steps,prop_first_try,prop_first_try_sym,avg_inc_sym,avg_hints_sym,avg_tps,avg_tps_sym
smalldeer,eve_dia,0,2,0,15,667.001,400.168,0,1,1,0.028985507246376812,0,6.175935185185185,5.799536231884058
smalldeer,odd_dia,4,11,4,15,1385.499,1154.666,0.018691588785046728,0.9439252336448598,0.927536231884058,0.15942028985507245,0.057971014492753624,12.948588785046729,16.73428985507246
smalldog,eve_dia,0,1,11,8,1169.334,726.334,0.038461538461538464,0.9423076923076923,0.9117647058823529,0.029411764705882353,0.3235294117647059,22.487192307692307,21.362764705882352
smalldog,odd_dia,3,9,14,9,1250.836,715.502,0.03225806451612903,0.8387096774193549,0.8048780487804879,0.21951219512195122,0.34146341463414637,20.174774193548387,17.451268292682926
smalldragon,eve_dia,20,4,0,13,842.496,415.664,0,0.9534883720930233,0.9622641509433962,0.07547169811320754,0,9.79646511627907,7.842716981132075
smalldragon,odd_dia,28,20,0,13,971.835,566.168,0,0.872093023255814,0.8490566037735849,0.37735849056603776,0,11.300406976744187,10.682415094339623
smalleagle,eve_dia,0,0,0,7,170.002,101.835,0,1,1,0,0,4.4737368421052635,4.427608695652173
smalleagle,odd_dia,4,15,12,7,682.331,587.498,0.02564102564102564,0.8974358974358975,0.8333333333333334,0.625,0.5,17.49566666666667,24.479083333333335
smallhorse,eve_dia,1,0,0,26,1155.01,660.008,0,1,1,0,0,5.397242990654205,4.925432835820896
smallhorse,odd_dia,2,6,0,26,1398.338,834.004,0,0.9857142857142858,0.9770992366412213,0.04580152671755725,0,6.6587523809523805,6.366442748091603
smallkoala,eve_dia,6,1,0,18,700.665,488.165,0,0.9925373134328358,0.9879518072289156,0.012048192771084338,0,5.22884328358209,5.881506024096386
smallkoala,odd_dia,5,50,7,19,1897.914,1631.248,0.022388059701492536,0.9104477611940298,0.8588235294117647,0.5882352941176471,0.08235294117647059,14.163537313432835,19.191152941176473
smalllion,eve_dia,17,6,0,26,840.176,574.676,0,0.985981308411215,0.9776119402985075,0.04477611940298507,0,3.9260560747663553,4.288626865671642
smalllion,odd_dia,21,16,1,26,1262.565,906.064,0.0047169811320754715,0.9811320754716981,0.9774436090225563,0.12030075187969924,0.007518796992481203,5.955495283018868,6.812511278195489
smallmonkey,eve_dia,1,5,1,4,289.668,163.834,0.04,0.92,0.8666666666666667,0.3333333333333333,0.06666666666666667,11.58672,10.922266666666667
smallmonkey,odd_dia,2,40,11,5,713.541,596.208,0.03571428571428571,0.75,0.6111111111111112,2.2222222222222223,0.6111111111111112,25.483607142857146,33.12266666666667
smallotter,eve_dia,1,4,0,24,954.337,622.337,0,0.9895833333333334,0.9833333333333333,0.03333333333333333,0,4.970505208333333,5.186141666666667
smallotter,odd_dia,5,7,2,24,1164.673,757.674,0.005235602094240838,0.9738219895287958,0.975,0.058333333333333334,0.016666666666666666,6.097764397905759,6.31395
smallowl,eve_dia,17,11,2,20,675.499,441.5,0.006711409395973154,0.9664429530201343,0.956989247311828,0.11827956989247312,0.021505376344086023,4.53355033557047,4.747311827956989
smallowl,odd_dia,18,36,12,20,860.671,608.421,0.02666666666666667,0.8866666666666667,0.8421052631578947,0.37894736842105264,0.12631578947368421,5.737806666666667,6.404431578947369
smallshark,eve_dia,5,6,1,6,242.168,201.334,0.03225806451612903,0.9032258064516129,0.8421052631578947,0.3157894736842105,0.05263157894736842,7.811870967741935,10.596526315789474
smallshark,odd_dia,14,31,21,6,402.204,325.87,0.03225806451612903,0.8387096774193549,0.7368421052631579,1.631578947368421,1.105263157894737,12.974322580645161,17.15105263157895
smallsheep,eve_dia,3,0,0,9,196.835,119.169,0,1,1,0,0,3.6450925925925928,3.611181818181818
smallsheep,odd_dia,2,21,18,9,979.334,911.334,0.03571428571428571,0.875,0.8,0.6,0.5142857142857142,17.488107142857142,26.038114285714283
